Device-ID/User-ID,Timestamp,Movement Activity,Fall Detected (Yes/No),Impact Force Level,Post-Fall Inactivity Duration (Seconds),Location,Alert Triggered (Yes/No),Caregiver Notified (Yes/No),
D2369,1/14/2025 19:15,Walking,No,-,0,Bathroom,No,No,
D2370,1/9/2025 12:14,No Movement,Yes,Medium,573,Living Room,Yes,Yes,
D2371,1/18/2025 16:19,Sitting,No,-,0,Bathroom,No,No,
D2372,1/25/2025 20:56,Sitting,No,-,0,Kitchen,No,No,
D2373,1/22/2025 0:12,Lying,No,-,0,Living Room,No,No,
D2374,1/30/2025 12:07,Sitting,No,-,0,Living Room,No,No,
D2375,1/15/2025 4:47,Walking,No,-,0,Bathroom,No,No,
D2376,1/12/2025 1:53,No Movement,No,-,0,Bathroom,No,No,
D2377,1/4/2025 21:54,Sitting,No,-,0,Kitchen,No,No,
D2378,1/15/2025 5:47,Sitting,No,-,0,Kitchen,No,No,
D2379,1/25/2025 20:31,No Movement,No,-,0,Bathroom,No,No,
D2380,1/22/2025 8:13,Sitting,No,-,0,Bedroom,No,No,
D2381,1/28/2025 4:41,Lying,No,-,0,Bedroom,No,No,
D2382,1/27/2025 8:58,Sitting,No,-,0,Bedroom,No,No,
D2383,1/29/2025 15:30,Sitting,No,-,0,Bathroom,No,No,
D2384,1/3/2025 5:52,Sitting,No,-,0,Kitchen,No,No,
D2385,1/19/2025 17:50,Lying,No,-,0,Kitchen,No,No,
D2386,1/20/2025 12:34,Lying,No,-,0,Bathroom,No,No,
D2387,1/19/2025 3:56,Lying,No,-,0,Living Room,No,No,
D2388,1/20/2025 20:19,Walking,No,-,0,Kitchen,No,No,
D2389,1/28/2025 3:16,No Movement,No,-,0,Living Room,No,No,
D2390,1/14/2025 23:03,Sitting,No,-,0,Kitchen,No,No,
D2391,1/22/2025 17:30,Walking,No,-,0,Bedroom,No,No,
D2392,1/16/2025 22:28,Sitting,No,-,0,Bedroom,No,No,
D2393,1/8/2025 14:21,Walking,No,-,0,Bedroom,No,No,
D2394,1/2/2025 1:01,No Movement,No,-,0,Bathroom,No,No,
D2395,1/3/2025 16:29,Lying,No,-,0,Kitchen,No,No,
D2396,1/17/2025 20:32,Lying,No,-,0,Kitchen,No,No,
D2397,1/24/2025 15:04,No Movement,No,-,0,Kitchen,No,No,
D2398,1/24/2025 19:40,Walking,No,-,0,Bedroom,No,No,
D2399,1/23/2025 6:57,Lying,No,-,0,Kitchen,No,No,
D2400,1/4/2025 11:26,No Movement,Yes,High,434,Bedroom,Yes,Yes,
D2401,1/16/2025 13:52,No Movement,No,-,0,Bathroom,No,No,
D2402,1/7/2025 7:32,Walking,No,-,0,Kitchen,No,No,
D2403,1/3/2025 12:06,Walking,No,-,0,Kitchen,No,No,
D2404,1/25/2025 4:29,Sitting,No,-,0,Bathroom,No,No,
D2405,1/19/2025 17:28,Lying,No,-,0,Kitchen,No,No,
D2406,1/14/2025 7:15,Sitting,No,-,0,Living Room,No,No,
D2407,1/10/2025 11:46,Walking,No,-,0,Living Room,No,No,
D2408,1/25/2025 1:05,Lying,No,-,0,Kitchen,No,No,
D2409,1/17/2025 14:42,Lying,No,-,0,Kitchen,No,No,
D2410,1/1/2025 5:27,Sitting,No,-,0,Bedroom,No,No,
D2411,1/18/2025 3:50,Walking,No,-,0,Bedroom,No,No,
D2412,1/24/2025 20:17,No Movement,No,-,0,Bedroom,No,No,
D2413,1/14/2025 19:20,Lying,No,-,0,Living Room,No,No,
D2414,1/9/2025 22:11,Walking,No,-,0,Bathroom,No,No,
D2415,1/24/2025 7:56,Sitting,No,-,0,Kitchen,No,No,
D2416,1/4/2025 5:04,No Movement,No,-,0,Kitchen,No,No,
D2417,1/16/2025 21:13,Walking,No,-,0,Living Room,No,No,
D2418,1/17/2025 20:27,No Movement,No,-,0,Bedroom,No,No,
D2419,1/6/2025 20:53,Lying,No,-,0,Living Room,No,No,
D2420,1/23/2025 7:58,Lying,No,-,0,Living Room,No,No,
D2421,1/15/2025 5:06,Sitting,No,-,0,Kitchen,No,No,
D2422,1/20/2025 5:12,Lying,No,-,0,Kitchen,No,No,
D2423,1/22/2025 6:32,Sitting,No,-,0,Bedroom,No,No,
D2424,1/4/2025 22:45,No Movement,No,-,0,Bedroom,No,No,
D2425,1/5/2025 23:02,Lying,No,-,0,Bathroom,No,No,
D2426,1/25/2025 17:12,No Movement,No,-,0,Bedroom,No,No,
D2427,1/30/2025 5:09,No Movement,No,-,0,Bedroom,No,No,
D2428,1/15/2025 4:20,Lying,No,-,0,Living Room,No,No,
D2429,1/2/2025 1:38,Lying,No,-,0,Bathroom,No,No,
D2430,1/5/2025 15:45,Lying,No,-,0,Bathroom,No,No,
D2431,1/2/2025 19:42,No Movement,No,-,0,Bedroom,No,No,
D2432,1/22/2025 17:57,Lying,No,-,0,Bedroom,No,No,
D2433,1/11/2025 16:28,Lying,No,-,0,Living Room,No,No,
D2434,1/14/2025 11:55,Walking,No,-,0,Bedroom,No,No,
D2435,1/9/2025 2:40,Sitting,No,-,0,Bedroom,No,No,
D2436,1/15/2025 10:43,No Movement,Yes,Medium,447,Bathroom,Yes,Yes,
D2437,1/20/2025 5:51,Sitting,No,-,0,Bedroom,No,No,
D2438,1/15/2025 0:14,Lying,No,-,0,Bedroom,No,No,
D2439,1/1/2025 17:08,Lying,No,-,0,Bedroom,No,No,
D2440,1/18/2025 14:55,Sitting,No,-,0,Living Room,No,No,
D2441,1/12/2025 2:33,Sitting,No,-,0,Living Room,No,No,
D2442,1/7/2025 2:30,No Movement,No,-,0,Bathroom,No,No,
D2443,1/1/2025 17:40,Sitting,No,-,0,Living Room,No,No,
D2444,1/22/2025 18:42,Sitting,No,-,0,Bedroom,No,No,
D2445,1/27/2025 17:57,Walking,No,-,0,Kitchen,No,No,
D2446,1/17/2025 9:00,No Movement,No,-,0,Bedroom,No,No,
D2447,1/19/2025 22:27,Lying,No,-,0,Bathroom,No,No,
D2448,1/4/2025 20:04,No Movement,No,-,0,Bedroom,No,No,
D2449,1/28/2025 2:27,Lying,No,-,0,Bathroom,No,No,
D2450,1/13/2025 22:39,Lying,No,-,0,Kitchen,No,No,
D2451,1/10/2025 19:55,Sitting,No,-,0,Kitchen,No,No,
D2452,1/25/2025 3:06,No Movement,No,-,0,Bedroom,No,No,
D2453,1/15/2025 18:44,No Movement,No,-,0,Living Room,No,No,
D2454,1/7/2025 10:28,No Movement,No,-,0,Kitchen,No,No,
D2455,1/22/2025 17:30,Sitting,No,-,0,Bedroom,No,No,
D2456,1/9/2025 22:20,Lying,No,-,0,Bathroom,No,No,
D2457,1/20/2025 5:29,Lying,No,-,0,Bedroom,No,No,
D2458,1/10/2025 14:54,Lying,No,-,0,Bathroom,No,No,
D2459,1/21/2025 23:56,No Movement,No,-,0,Living Room,No,No,
D2460,1/29/2025 4:04,No Movement,No,-,0,Bedroom,No,No,
D2461,1/12/2025 9:31,No Movement,No,-,0,Kitchen,No,No,
D2462,1/2/2025 14:35,Sitting,No,-,0,Bedroom,No,No,
D2463,1/29/2025 5:27,No Movement,No,-,0,Bathroom,No,No,
D2464,1/1/2025 15:36,Walking,No,-,0,Living Room,No,No,
D2465,1/26/2025 11:57,Lying,No,-,0,Living Room,No,No,
D2466,1/4/2025 20:38,No Movement,No,-,0,Bathroom,No,No,
D2467,1/28/2025 0:28,Lying,No,-,0,Living Room,No,No,
D2468,1/27/2025 18:25,No Movement,No,-,0,Living Room,No,No,
D2469,1/30/2025 11:17,No Movement,No,-,0,Living Room,No,No,
D2470,1/2/2025 12:32,Lying,No,-,0,Kitchen,No,No,
D2471,1/8/2025 10:20,Lying,No,-,0,Bedroom,No,No,
D2472,1/8/2025 8:34,No Movement,No,-,0,Kitchen,No,No,
D2473,1/1/2025 14:35,Lying,No,-,0,Bathroom,No,No,
D2474,1/10/2025 0:20,No Movement,No,-,0,Kitchen,No,No,
D2475,1/3/2025 11:27,No Movement,No,-,0,Living Room,No,No,
D2476,1/26/2025 5:55,Lying,No,-,0,Kitchen,No,No,
D2477,1/3/2025 11:13,Walking,No,-,0,Living Room,No,No,
D2478,1/12/2025 16:43,Walking,No,-,0,Bathroom,No,No,
D2479,1/29/2025 8:05,Walking,No,-,0,Living Room,No,No,
D2480,1/9/2025 14:43,Walking,No,-,0,Bedroom,No,No,
D2481,1/16/2025 5:31,Walking,No,-,0,Bedroom,No,No,
D2482,1/26/2025 22:34,Lying,No,-,0,Bedroom,No,No,
D2483,1/16/2025 14:59,Sitting,No,-,0,Kitchen,No,No,
D2484,1/30/2025 16:53,Walking,No,-,0,Living Room,No,No,
D2485,1/21/2025 16:14,No Movement,No,-,0,Bedroom,No,No,
D2486,1/29/2025 18:48,Walking,No,-,0,Kitchen,No,No,
D2487,1/27/2025 7:24,No Movement,No,-,0,Kitchen,No,No,
D2488,1/25/2025 14:10,Sitting,No,-,0,Bathroom,No,No,
D2489,1/7/2025 19:43,No Movement,No,-,0,Kitchen,No,No,
D2490,1/8/2025 17:56,Sitting,No,-,0,Bedroom,No,No,
D2491,1/4/2025 3:35,No Movement,No,-,0,Bathroom,No,No,
D2492,1/18/2025 15:34,Walking,No,-,0,Living Room,No,No,
D2493,1/13/2025 19:49,No Movement,No,-,0,Bedroom,No,No,
D2494,1/10/2025 17:01,Sitting,No,-,0,Bathroom,No,No,
D2495,1/29/2025 8:37,Sitting,No,-,0,Bedroom,No,No,
D2496,1/4/2025 7:32,Sitting,No,-,0,Living Room,No,No,
D2497,1/29/2025 5:28,Walking,No,-,0,Bathroom,No,No,
D2498,1/1/2025 7:53,No Movement,No,-,0,Bathroom,No,No,
D2499,1/20/2025 13:08,Sitting,No,-,0,Kitchen,No,No,
D2500,1/8/2025 18:48,Walking,No,-,0,Living Room,No,No,
D2501,1/5/2025 16:14,Walking,No,-,0,Bathroom,No,No,
D2502,1/29/2025 3:34,Sitting,No,-,0,Living Room,No,No,
D2503,1/5/2025 20:50,Walking,No,-,0,Kitchen,No,No,
D2504,1/13/2025 22:10,Lying,No,-,0,Bedroom,No,No,
D2505,1/21/2025 8:17,Walking,No,-,0,Bathroom,No,No,
D2506,1/11/2025 22:55,No Movement,No,-,0,Living Room,No,No,
D2507,1/8/2025 15:31,Walking,No,-,0,Living Room,No,No,
D2508,1/10/2025 6:02,Walking,No,-,0,Kitchen,No,No,
D2509,1/14/2025 20:22,Sitting,No,-,0,Living Room,No,No,
D2510,1/19/2025 14:39,No Movement,No,-,0,Living Room,No,No,
D2511,1/14/2025 7:06,Lying,No,-,0,Kitchen,No,No,
D2512,1/30/2025 12:57,Sitting,No,-,0,Kitchen,No,No,
D2513,1/26/2025 15:41,Lying,No,-,0,Bedroom,No,No,
D2514,1/26/2025 15:34,Walking,No,-,0,Living Room,No,No,
D2515,1/16/2025 9:06,Lying,No,-,0,Kitchen,No,No,
D2516,1/5/2025 18:31,Sitting,No,-,0,Bathroom,No,No,
D2517,1/21/2025 23:56,Sitting,No,-,0,Kitchen,No,No,
D2518,1/20/2025 15:35,Sitting,No,-,0,Bathroom,No,No,
D2519,1/28/2025 4:49,Lying,No,-,0,Bathroom,No,No,
D2520,1/11/2025 6:50,Lying,No,-,0,Bathroom,No,No,
D2521,1/2/2025 6:35,Sitting,No,-,0,Living Room,No,No,
D2522,1/3/2025 9:53,Sitting,No,-,0,Kitchen,No,No,
D2523,1/29/2025 8:04,No Movement,No,-,0,Bedroom,No,No,
D2524,1/1/2025 5:43,Sitting,No,-,0,Bedroom,No,No,
D2525,1/1/2025 15:00,Lying,No,-,0,Living Room,No,No,
D2526,1/26/2025 1:48,No Movement,No,-,0,Bathroom,No,No,
D2527,1/4/2025 9:55,Sitting,No,-,0,Kitchen,No,No,
D2528,1/25/2025 22:30,Walking,No,-,0,Bedroom,No,No,
D2529,1/15/2025 2:27,Sitting,No,-,0,Kitchen,No,No,
D2530,1/15/2025 12:36,Sitting,No,-,0,Living Room,No,No,
D2531,1/11/2025 14:41,No Movement,No,-,0,Bathroom,No,No,
D2532,1/11/2025 22:30,Sitting,No,-,0,Bathroom,No,No,
D2533,1/15/2025 6:41,Walking,No,-,0,Living Room,No,No,
D2534,1/10/2025 7:15,Lying,No,-,0,Living Room,No,No,
D2535,1/13/2025 4:41,Sitting,No,-,0,Bathroom,No,No,
D2536,1/26/2025 20:42,Walking,No,-,0,Bathroom,No,No,
D2537,1/4/2025 14:08,Walking,No,-,0,Bathroom,No,No,
D2538,1/9/2025 22:20,Sitting,No,-,0,Living Room,No,No,
D2539,1/25/2025 12:29,Sitting,No,-,0,Bathroom,No,No,
D2540,1/23/2025 2:04,Lying,No,-,0,Kitchen,No,No,
D2541,1/2/2025 21:06,Lying,No,-,0,Kitchen,No,No,
D2542,1/3/2025 13:19,Lying,No,-,0,Living Room,No,No,
D2543,1/17/2025 6:58,No Movement,No,-,0,Bedroom,No,No,
D2544,1/3/2025 20:17,Sitting,No,-,0,Bathroom,No,No,
D2545,1/15/2025 16:33,Sitting,No,-,0,Bedroom,No,No,
D2546,1/13/2025 12:53,No Movement,No,-,0,Bathroom,No,No,
D2547,1/2/2025 5:57,Walking,No,-,0,Bedroom,No,No,
D2548,1/9/2025 22:55,Walking,No,-,0,Bedroom,No,No,
D2549,1/11/2025 2:10,Walking,No,-,0,Living Room,No,No,
D2550,1/6/2025 0:31,Walking,No,-,0,Living Room,No,No,
D2551,1/19/2025 0:12,Lying,No,-,0,Kitchen,No,No,
D2552,1/11/2025 17:47,Sitting,No,-,0,Bedroom,No,No,
D2553,1/23/2025 0:59,Sitting,No,-,0,Living Room,No,No,
D2554,1/28/2025 16:17,Walking,No,-,0,Bathroom,No,No,
D2555,1/3/2025 7:46,Walking,No,-,0,Living Room,No,No,
D2556,1/14/2025 3:32,Walking,No,-,0,Kitchen,No,No,
D2557,1/10/2025 23:51,Sitting,No,-,0,Living Room,No,No,
D2558,1/8/2025 5:54,Walking,No,-,0,Kitchen,No,No,
D2559,1/6/2025 1:56,No Movement,Yes,Medium,408,Living Room,Yes,Yes,
D2560,1/27/2025 8:05,Lying,No,-,0,Bathroom,No,No,
D2561,1/2/2025 1:02,Walking,No,-,0,Bathroom,No,No,
D2562,1/15/2025 16:33,No Movement,No,-,0,Bedroom,No,No,
D2563,1/2/2025 5:07,Walking,No,-,0,Kitchen,No,No,
D2564,1/27/2025 19:54,Walking,No,-,0,Bedroom,No,No,
D2565,1/11/2025 3:50,Lying,No,-,0,Bathroom,No,No,
D2566,1/21/2025 15:58,Walking,No,-,0,Kitchen,No,No,
D2567,1/24/2025 18:43,No Movement,No,-,0,Bathroom,No,No,
D2568,1/26/2025 18:12,Walking,No,-,0,Living Room,No,No,
D2569,1/15/2025 16:59,Lying,No,-,0,Bathroom,No,No,
D2570,1/28/2025 22:07,Lying,No,-,0,Bathroom,No,No,
D2571,1/5/2025 11:47,Walking,No,-,0,Living Room,No,No,
D2572,1/13/2025 16:12,Lying,No,-,0,Bathroom,No,No,
D2573,1/29/2025 6:49,Walking,No,-,0,Bathroom,No,No,
D2574,1/16/2025 12:48,Walking,No,-,0,Living Room,No,No,
D2575,1/4/2025 22:49,Sitting,No,-,0,Bathroom,No,No,
D2576,1/30/2025 14:17,Sitting,No,-,0,Living Room,No,No,
D2577,1/10/2025 4:33,No Movement,Yes,High,268,Bedroom,Yes,Yes,
D2578,1/21/2025 5:09,Lying,No,-,0,Kitchen,No,No,
D2579,1/21/2025 0:30,Sitting,No,-,0,Bathroom,No,No,
D2580,1/10/2025 6:05,Sitting,No,-,0,Living Room,No,No,
D2581,1/21/2025 1:38,Lying,No,-,0,Bedroom,No,No,
D2582,1/26/2025 3:01,Walking,No,-,0,Bedroom,No,No,
D2583,1/16/2025 12:05,Lying,No,-,0,Living Room,No,No,
D2584,1/30/2025 18:44,Walking,No,-,0,Bedroom,No,No,
D2585,1/10/2025 21:21,Walking,No,-,0,Living Room,No,No,
D2586,1/19/2025 1:20,Walking,No,-,0,Living Room,No,No,
D2587,1/21/2025 4:09,Lying,No,-,0,Living Room,No,No,
D2588,1/25/2025 8:11,Lying,No,-,0,Bedroom,No,No,
D2589,1/23/2025 4:01,Walking,No,-,0,Kitchen,No,No,
D2590,1/25/2025 22:13,Lying,No,-,0,Bathroom,No,No,
D2591,1/25/2025 10:31,Lying,No,-,0,Kitchen,No,No,
D2592,1/22/2025 10:14,Walking,No,-,0,Bedroom,No,No,
D2593,1/4/2025 14:23,Lying,No,-,0,Kitchen,No,No,
D2594,1/9/2025 14:30,Walking,No,-,0,Kitchen,No,No,
D2595,1/18/2025 0:52,Lying,No,-,0,Bedroom,No,No,
D2596,1/14/2025 9:17,No Movement,No,-,0,Bedroom,No,No,
D2597,1/24/2025 7:49,Sitting,No,-,0,Bathroom,No,No,
D2598,1/5/2025 1:25,No Movement,No,-,0,Living Room,No,No,
D2599,1/20/2025 17:34,Sitting,No,-,0,Bathroom,No,No,
D2600,1/12/2025 21:01,Lying,No,-,0,Bedroom,No,No,
D2601,1/8/2025 1:58,Sitting,No,-,0,Kitchen,No,No,
D2602,1/7/2025 21:01,Lying,No,-,0,Living Room,No,No,
D2603,1/17/2025 10:53,Walking,No,-,0,Kitchen,No,No,
D2604,1/24/2025 12:48,Walking,No,-,0,Bedroom,No,No,
D2605,1/11/2025 17:50,No Movement,No,-,0,Bedroom,No,No,
D2606,1/20/2025 23:11,No Movement,No,-,0,Bedroom,No,No,
D2607,1/5/2025 8:46,Lying,No,-,0,Bathroom,No,No,
D2608,1/4/2025 0:58,Walking,No,-,0,Bedroom,No,No,
D2609,1/7/2025 11:35,Lying,No,-,0,Bedroom,No,No,
D2610,1/15/2025 10:40,No Movement,No,-,0,Bathroom,No,No,
D2611,1/17/2025 17:03,No Movement,No,-,0,Kitchen,No,No,
D2612,1/12/2025 23:12,Sitting,No,-,0,Bedroom,No,No,
D2613,1/22/2025 4:50,Lying,No,-,0,Kitchen,No,No,
D2614,1/13/2025 0:13,Lying,No,-,0,Bedroom,No,No,
D2615,1/11/2025 21:54,No Movement,Yes,Medium,76,Living Room,Yes,Yes,
D2616,1/4/2025 23:46,Sitting,No,-,0,Living Room,No,No,
D2617,1/23/2025 18:15,Lying,No,-,0,Living Room,No,No,
D2618,1/9/2025 0:46,Sitting,No,-,0,Bathroom,No,No,
D2619,1/4/2025 15:29,Sitting,No,-,0,Bedroom,No,No,
D2620,1/26/2025 17:33,No Movement,No,-,0,Bedroom,No,No,
D2621,1/13/2025 2:04,Sitting,No,-,0,Kitchen,No,No,
D2622,1/2/2025 5:37,No Movement,No,-,0,Bedroom,No,No,
D2623,1/3/2025 1:03,Walking,No,-,0,Bedroom,No,No,
D2624,1/19/2025 0:23,No Movement,No,-,0,Living Room,No,No,
D2625,1/30/2025 7:03,No Movement,No,-,0,Living Room,No,No,
D2626,1/21/2025 3:33,Walking,No,-,0,Kitchen,No,No,
D2627,1/21/2025 1:26,Walking,No,-,0,Kitchen,No,No,
D2628,1/7/2025 19:01,Sitting,No,-,0,Bathroom,No,No,
D2629,1/21/2025 5:47,Sitting,No,-,0,Living Room,No,No,
D2630,1/13/2025 2:13,Lying,No,-,0,Bathroom,No,No,
D2631,1/17/2025 8:54,Sitting,No,-,0,Kitchen,No,No,
D2632,1/10/2025 5:52,Lying,No,-,0,Kitchen,No,No,
D2633,1/5/2025 0:00,Sitting,No,-,0,Bathroom,No,No,
D2634,1/12/2025 14:42,No Movement,No,-,0,Living Room,No,No,
D2635,1/11/2025 5:20,Walking,No,-,0,Bathroom,No,No,
D2636,1/20/2025 3:01,Sitting,No,-,0,Bedroom,No,No,
D2637,1/13/2025 5:57,Lying,No,-,0,Kitchen,No,No,
D2638,1/18/2025 17:39,Sitting,No,-,0,Living Room,No,No,
D2639,1/14/2025 2:25,Lying,No,-,0,Kitchen,No,No,
D2640,1/1/2025 19:36,Lying,No,-,0,Bathroom,No,No,
D2641,1/4/2025 6:53,Sitting,No,-,0,Bathroom,No,No,
D2642,1/3/2025 5:58,Lying,No,-,0,Living Room,No,No,
D2643,1/18/2025 20:42,Sitting,No,-,0,Bathroom,No,No,
D2644,1/9/2025 23:21,No Movement,Yes,High,206,Living Room,Yes,Yes,
D2645,1/12/2025 17:13,No Movement,Yes,Low,346,Living Room,No,No,
D2646,1/20/2025 10:26,Walking,No,-,0,Kitchen,No,No,
D2647,1/6/2025 4:46,Sitting,No,-,0,Bathroom,No,No,
D2648,1/9/2025 11:44,Sitting,No,-,0,Living Room,No,No,
D2649,1/16/2025 13:34,Walking,No,-,0,Kitchen,No,No,
D2650,1/28/2025 18:58,Lying,No,-,0,Kitchen,No,No,
D2651,1/6/2025 1:55,Walking,No,-,0,Kitchen,No,No,
D2652,1/23/2025 17:00,Lying,No,-,0,Bathroom,No,No,
D2653,1/18/2025 6:27,Sitting,No,-,0,Bathroom,No,No,
D2654,1/6/2025 14:16,Sitting,No,-,0,Living Room,No,No,
D2655,1/4/2025 1:03,No Movement,Yes,High,201,Bedroom,Yes,Yes,
D2656,1/2/2025 13:13,No Movement,No,-,0,Bedroom,No,No,
D2657,1/17/2025 3:38,Sitting,No,-,0,Bathroom,No,No,
D2658,1/27/2025 6:18,Lying,No,-,0,Kitchen,No,No,
D2659,1/15/2025 4:32,Lying,No,-,0,Living Room,No,No,
D2660,1/3/2025 3:28,Lying,No,-,0,Bathroom,No,No,
D2661,1/20/2025 12:52,Lying,No,-,0,Kitchen,No,No,
D2662,1/3/2025 22:09,Walking,No,-,0,Living Room,No,No,
D2663,1/15/2025 8:51,No Movement,Yes,Low,88,Bathroom,No,No,
D2664,1/26/2025 17:50,Lying,No,-,0,Bedroom,No,No,
D2665,1/7/2025 2:09,Sitting,No,-,0,Kitchen,No,No,
D2666,1/29/2025 15:36,Walking,No,-,0,Living Room,No,No,
D2667,1/27/2025 13:07,Walking,No,-,0,Bathroom,No,No,
D2668,1/13/2025 0:33,Sitting,No,-,0,Living Room,No,No,
D2669,1/1/2025 9:23,Walking,No,-,0,Bedroom,No,No,
D2670,1/7/2025 9:42,No Movement,No,-,0,Bedroom,No,No,
D2671,1/7/2025 3:47,Walking,No,-,0,Bathroom,No,No,
D2672,1/8/2025 4:37,No Movement,No,-,0,Living Room,No,No,
D2673,1/5/2025 6:01,No Movement,No,-,0,Bedroom,No,No,
D2674,1/12/2025 11:58,Sitting,No,-,0,Kitchen,No,No,
D2675,1/2/2025 2:26,Lying,No,-,0,Living Room,No,No,
D2676,1/26/2025 4:54,Walking,No,-,0,Bedroom,No,No,
D2677,1/16/2025 10:52,No Movement,No,-,0,Kitchen,No,No,
D2678,1/30/2025 12:26,No Movement,Yes,High,184,Kitchen,Yes,Yes,
D2679,1/16/2025 23:42,Lying,No,-,0,Kitchen,No,No,
D2680,1/5/2025 20:39,Lying,No,-,0,Bedroom,No,No,
D2681,1/5/2025 11:30,No Movement,No,-,0,Living Room,No,No,
D2682,1/1/2025 4:14,Walking,No,-,0,Living Room,No,No,
D2683,1/6/2025 8:34,No Movement,No,-,0,Bathroom,No,No,
D2684,1/13/2025 2:27,No Movement,No,-,0,Bedroom,No,No,
D2685,1/6/2025 7:19,Lying,No,-,0,Kitchen,No,No,
D2686,1/3/2025 9:40,Walking,No,-,0,Kitchen,No,No,
D2687,1/19/2025 23:26,Sitting,No,-,0,Living Room,No,No,
D2688,1/22/2025 16:52,Sitting,No,-,0,Kitchen,No,No,
D2689,1/21/2025 3:56,Walking,No,-,0,Kitchen,No,No,
D2690,1/20/2025 16:07,Walking,No,-,0,Bedroom,No,No,
D2691,1/16/2025 21:57,Walking,No,-,0,Bathroom,No,No,
D2692,1/9/2025 0:55,Walking,No,-,0,Kitchen,No,No,
D2693,1/26/2025 2:56,No Movement,No,-,0,Bedroom,No,No,
D2694,1/11/2025 14:33,Sitting,No,-,0,Bathroom,No,No,
D2695,1/28/2025 20:29,Lying,No,-,0,Bedroom,No,No,
D2696,1/17/2025 6:40,Sitting,No,-,0,Living Room,No,No,
D2697,1/24/2025 0:47,Sitting,No,-,0,Bedroom,No,No,
D2698,1/4/2025 20:49,Sitting,No,-,0,Bedroom,No,No,
D2699,1/26/2025 8:25,Sitting,No,-,0,Bedroom,No,No,
D2700,1/26/2025 13:46,Walking,No,-,0,Bedroom,No,No,
D2701,1/27/2025 19:36,Sitting,No,-,0,Bedroom,No,No,
D2702,1/12/2025 10:19,Lying,No,-,0,Living Room,No,No,
D2703,1/20/2025 23:30,No Movement,No,-,0,Bedroom,No,No,
D2704,1/26/2025 18:45,Sitting,No,-,0,Bedroom,No,No,
D2705,1/1/2025 6:05,Walking,No,-,0,Bedroom,No,No,
D2706,1/21/2025 1:55,Sitting,No,-,0,Living Room,No,No,
D2707,1/19/2025 16:47,Walking,No,-,0,Bathroom,No,No,
D2708,1/21/2025 19:12,Sitting,No,-,0,Living Room,No,No,
D2709,1/13/2025 18:27,Walking,No,-,0,Bedroom,No,No,
D2710,1/1/2025 14:51,Lying,No,-,0,Living Room,No,No,
D2711,1/29/2025 5:49,Sitting,No,-,0,Living Room,No,No,
D2712,1/21/2025 10:09,No Movement,No,-,0,Bathroom,No,No,
D2713,1/27/2025 23:28,Walking,No,-,0,Living Room,No,No,
D2714,1/14/2025 14:38,Walking,No,-,0,Bathroom,No,No,
D2715,1/26/2025 14:50,No Movement,No,-,0,Bathroom,No,No,
D2716,1/4/2025 22:49,Walking,No,-,0,Living Room,No,No,
D2717,1/21/2025 16:46,Sitting,No,-,0,Kitchen,No,No,
D2718,1/21/2025 14:23,No Movement,No,-,0,Kitchen,No,No,
D2719,1/16/2025 8:11,Walking,No,-,0,Bathroom,No,No,
D2720,1/9/2025 4:33,Lying,No,-,0,Kitchen,No,No,
D2721,1/5/2025 11:45,Walking,No,-,0,Kitchen,No,No,
D2722,1/3/2025 18:54,Sitting,No,-,0,Kitchen,No,No,
D2723,1/23/2025 22:09,Walking,No,-,0,Bathroom,No,No,
D2724,1/4/2025 13:52,No Movement,No,-,0,Bathroom,No,No,
D2725,1/5/2025 8:51,No Movement,No,-,0,Bedroom,No,No,
D2726,1/1/2025 6:54,Sitting,No,-,0,Living Room,No,No,
D2727,1/3/2025 1:23,Lying,No,-,0,Living Room,No,No,
D2728,1/24/2025 21:14,Walking,No,-,0,Kitchen,No,No,
D2729,1/14/2025 12:07,Walking,No,-,0,Living Room,No,No,
D2730,1/11/2025 9:50,Lying,No,-,0,Living Room,No,No,
D2731,1/19/2025 1:27,Lying,No,-,0,Bedroom,No,No,
D2732,1/15/2025 23:37,Sitting,No,-,0,Living Room,No,No,
D2733,1/20/2025 3:45,No Movement,No,-,0,Bedroom,No,No,
D2734,1/9/2025 9:16,No Movement,No,-,0,Bathroom,No,No,
D2735,1/22/2025 7:36,Sitting,No,-,0,Living Room,No,No,
D2736,1/30/2025 5:30,Walking,No,-,0,Living Room,No,No,
D2737,1/3/2025 14:21,No Movement,No,-,0,Living Room,No,No,
D2738,1/5/2025 10:47,Lying,No,-,0,Living Room,No,No,
D2739,1/12/2025 1:37,No Movement,Yes,High,425,Living Room,Yes,Yes,
D2740,1/5/2025 1:19,No Movement,No,-,0,Living Room,No,No,
D2741,1/29/2025 6:53,No Movement,No,-,0,Bathroom,No,No,
D2742,1/28/2025 15:19,No Movement,Yes,High,44,Bedroom,Yes,Yes,
D2743,1/26/2025 3:04,Lying,No,-,0,Living Room,No,No,
D2744,1/14/2025 7:17,Sitting,No,-,0,Bathroom,No,No,
D2745,1/27/2025 17:45,Lying,No,-,0,Bathroom,No,No,
D2746,1/13/2025 21:07,Lying,No,-,0,Kitchen,No,No,
D2747,1/9/2025 11:03,Sitting,No,-,0,Living Room,No,No,
D2748,1/27/2025 3:42,Walking,No,-,0,Kitchen,No,No,
D2749,1/25/2025 0:56,Sitting,No,-,0,Living Room,No,No,
